product_id,external_product_id,platform_id,country_id,shop_id,category_id,product_title,product_title_translated,brand,description,main_image_url,url,is_ad,first_seen_date,last_updated
1,PLAT14_79908,14,6,96,14,Bridgestone Automotive Standard Edition,Bridgestone Automotive Standard Edition (菲式销售),Bridgestone,全新上市的Bridgestone产品，本地化适配,/images/products/automotive/bridgestone_6.jpg,https://example.com/product/PROD56668435,False,2025-12-09,2026-02-01
2,PLAT23_35492,23,4,75,1,Sharp Model 47 4GB RAM 128GB,Sharp Model 47 4GB RAM 128GB (马来西亚销售),Sharp,在Malaysia销量领先的Sharp产品，正品保障,/images/products/electronics/sharp_14.jpg,https://example.com/product/PROD18734561,True,2025-01-12,2025-02-26
3,PLAT16_33416,16,5,89,4,Shiseido Whitening Serum,Shiseido Whitening Serum 狮城版,Shiseido,Shiseido品牌畅销产品，符合当地标准,/images/products/beauty_&_cosmetics/shiseido_1.jpg,https://example.com/product/PROD54281970,True,2025-11-29,2025-12-24
4,BLI_68589,7,1,91,12,Hasbro Toys & Games Standard Edition,Hasbro Toys & Games Standard Edition (印尼销售),Hasbro,在Indonesia广受欢迎的Hasbro产品，官方授权,/images/products/toys_&_games/hasbro_13.jpg,https://blibli.com/product/PROD74837402,True,2025-05-20,2025-07-11
5,PLAT12_58253,12,2,38,6,Neutrogena Sunscreen & Skincare Standard Edition,Neutrogena Sunscreen & Skincare Standard Edition 泰式版,Neutrogena,Neutrogena品牌热门产品，东南亚市场专供,/images/products/sunscreen_&_skincare/neutrogena_3.jpg,https://example.com/product/PROD94852345,False,2025-10-21,2025-11-01
6,SHOPEE_32369,1,7,2,12,PlayStation Toys & Games Premium Edition,PlayStation Toys & Games Premium Edition (高棉销售),PlayStation,节日特供的PlayStation产品，专为东南亚气候设计,/images/products/toys_&_games/playstation_18.jpg,https://shopee.co.id/product/PROD37589246,False,2025-04-21,2025-06-19
7,LZD_37637,2,9,78,13,Centrum Health & Wellness Standard Edition,Centrum Health & Wellness Standard Edition (缅甸销售),Centrum,Centrum品牌热门产品，东南亚市场专供,/images/products/health_&_wellness/centrum_12.jpg,https://lazada.co.id/product/PROD80661916,True,2025-09-15,2025-09-17
8,PLAT29_78661,29,5,30,4,Maybelline Essential Lipstick,Maybelline Essential Lipstick 新加坡版,Maybelline,限时优惠的Maybelline产品，本地化适配,/images/products/beauty_&_cosmetics/maybelline_13.jpg,https://example.com/product/PROD78509945,False,2025-05-07,2025-06-11
9,PLAT24_56171,24,4,81,10,Cotton T-Shirt by Sarong,大马传统服饰 - Cotton T-Shirt by Sarong,Sarong,在Malaysia广受欢迎的Sarong产品，质量保证,/images/products/traditional_clothing/sarong_11.jpg,https://example.com/product/PROD72120424,True,2025-06-15,2025-08-01
10,SH_PH_31531,13,6,4,7,Fenty Beauty Makeup Basic Edition,Fenty Beauty Makeup Basic Edition 传统版,Fenty Beauty,Fenty Beauty品牌优质产品，符合当地标准,/images/products/makeup/fenty_beauty_14.jpg,https://shopee.ph/product/PROD36181553,False,2025-03-22,2025-04-26
11,PLAT14_26674,14,6,90,1,Samsung Model 85 4GB RAM 128GB,Samsung Model 85 4GB RAM 128GB (菲律宾销售),Samsung,全新上市的Samsung产品，本地化适配,/images/products/electronics/samsung_12.jpg,https://example.com/product/PROD75669149,False,2025-09-25,2025-10-29
