news_id,country_id,title,title_en,summary,content,content_en,news_type,source,source_url,publish_date,tags,related_countries,related_categories,view_count,is_featured
1,1,印尼电商市场2024年增长预测,Indonesia E-commerce Market Growth Forecast 2024,预计2024年印尼电商市场将增长25%,印尼电商市场持续快速增长，预计2024年将实现25%的增长，主要推动因素包括移动支付普及和物流基础设施改善。,Indonesia's e-commerce market continues rapid growth, expected to achieve 25% growth in 2024, driven by mobile payment adoption and logistics infrastructure improvements.,市场趋势,印尼电商协会,https://example.com/id-growth,2024-01-15,"['电商', '增长', '预测']","[1]",,150,True
2,2,泰国与RCEP成员国贸易额创新高,Thailand-RCEP Trade Volume Hits Record High,2023年泰国与RCEP成员国贸易额增长18%,泰国与RCEP成员国贸易额在2023年创历史新高，同比增长18%，主要受益于关税减免和贸易便利化措施。,Thailand's trade volume with RCEP members hit a record high in 2023, up 18% year-on-year, benefiting from tariff reductions and trade facilitation measures.,政策动态,泰国商务部,https://example.com/th-rcep,2024-01-10,"['RCEP', '贸易', '政策']","[2, 1, 3, 4, 5]",,230,True
3,3,越南成为东南亚第二大电商市场,Vietnam Becomes Second Largest E-commerce Market in SEA,越南电商市场规模超过马来西亚,越南电商市场快速发展，已超越马来西亚成为东南亚第二大电商市场，仅次于印尼。,Vietnam's e-commerce market has rapidly developed, surpassing Malaysia to become the second largest in Southeast Asia, second only to Indonesia.,市场趋势,越南工贸部,https://example.com/vn-market,2024-01-08,"['电商', '市场', '排名']","[3]",,180,False
4,4,马来西亚推出数字贸易平台,Malaysia Launches Digital Trade Platform,政府推出统一数字贸易平台,马来西亚政府推出统一数字贸易平台，旨在简化跨境贸易流程，提高贸易效率。,Malaysia government launched a unified digital trade platform to simplify cross-border trade processes and improve trade efficiency.,政策动态,马来西亚国际贸易部,https://example.com/my-platform,2024-01-12,"['数字贸易', '平台', '政策']","[4]",,95,False
5,5,菲律宾电商渗透率持续提升,Philippines E-commerce Penetration Continues to Rise,电商用户占比达到45%,菲律宾电商渗透率持续提升，电商用户占比已达到45%，预计未来三年将超过60%。,Philippines e-commerce penetration continues to rise, with e-commerce users accounting for 45% of the population, expected to exceed 60% in the next three years.,市场趋势,菲律宾统计局,https://example.com/ph-penetration,2024-01-05,"['电商', '渗透率', '用户']","[5]",,120,False
6,6,新加坡成为东盟数字中心,Singapore Becomes ASEAN Digital Hub,新加坡数字经济发展迅速,新加坡凭借完善的数字基础设施和政策支持，已成为东盟数字经济发展中心。,Singapore has become the digital economy development center of ASEAN with its perfect digital infrastructure and policy support.,行业报告,新加坡经济发展局,https://example.com/sg-digital,2024-01-20,"['数字经济', '中心', '基础设施']","[6]",,200,True
7,1,印尼推出新的电商税收政策,Indonesia Introduces New E-commerce Tax Policy,对电商平台征收新税种,印尼政府宣布对电商平台征收新的税收政策，预计将增加政府财政收入。,Indonesia government announced new tax policy for e-commerce platforms, expected to increase government revenue.,政策动态,印尼财政部,https://example.com/id-tax,2024-01-18,"['税收', '政策', '电商平台']","[1]",,175,False
8,2,泰国农产品出口增长强劲,Thailand Agricultural Exports Show Strong Growth,2023年农产品出口增长12%,泰国农产品出口在2023年表现强劲，同比增长12%，主要出口产品包括大米、水果和海鲜。,Thailand's agricultural exports performed strongly in 2023, up 12% year-on-year, mainly including rice, fruits and seafood.,市场趋势,泰国商务部,https://example.com/th-agriculture,2024-01-14,"['农产品', '出口', '增长']","[2]",,88,False
9,3,越南制造业吸引外资创新高,Vietnam Manufacturing Attracts Record Foreign Investment,2023年制造业FDI达150亿美元,越南制造业在2023年吸引外资创新高，达到150亿美元，主要投资领域包括电子、纺织和汽车制造。,Vietnam's manufacturing sector attracted a record $15 billion in FDI in 2023, mainly in electronics, textiles and automotive manufacturing.,行业报告,越南计划投资部,https://example.com/vn-fdi,2024-01-16,"['制造业', '外资', 'FDI']","[3]",,145,False
10,4,马来西亚与中国签署贸易协议,Malaysia Signs Trade Agreement with China,扩大双边贸易合作,马来西亚与中国签署新的贸易协议，将进一步扩大双边贸易合作，预计贸易额将增长20%。,Malaysia signed a new trade agreement with China to further expand bilateral trade cooperation, with trade volume expected to grow by 20%.,政策动态,马来西亚国际贸易部,https://example.com/my-china,2024-01-11,"['贸易协议', '中国', '双边']","[4]",,165,False
